title,abstract,year,pdf,label,code,time
A Comparative Study of Ensemble Feature Selection Techniques for Software Defect Prediction,"Feature selection has become the essential step in many data mining applications. Using a single feature subset selection method may generate local optima. Ensembles of feature selection methods attempt to combine multiple feature selection methods instead of using a single one. We present a comprehensive empirical study examining 17 different ensembles of feature ranking techniques (rankers) including six commonly-used feature ranking techniques, the signal-to-noise filter technique, and 11 threshold-based feature ranking techniques. This study utilized 16 real-world software measurement data sets of different sizes and built 13,600 classification models. Experimental results indicate that ensembles of very few rankers are very effective and even better than ensembles of many or all rankers.",2010,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5708824,yes,yes,5501
Attribute Selection and Imbalanced Data: Problems in Software Defect Prediction,"The data mining and machine learning community is often faced with two key problems: working with imbalanced data and selecting the best features for machine learning. This paper presents a process involving a feature selection technique for selecting the important attributes and a data sampling technique for addressing class imbalance. The application domain of this study is software engineering, more specifically, software quality prediction using classification models. When using feature selection and data sampling together, different scenarios should be considered. The four possible scenarios are: (1) feature selection based on original data, and modeling (defect prediction) based on original data; (2) feature selection based on original data, and modeling based on sampled data; (3) feature selection based on sampled data, and modeling based on original data; and (4) feature selection based on sampled data, and modeling based on sampled data. The research objective is to compare the software defect prediction performances of models based on the four scenarios. The case study consists of nine software measurement data sets obtained from the PROMISE software project repository. Empirical results suggest that feature selection based on sampled data performs significantly better than feature selection based on original data, and that defect prediction models perform similarly regardless of whether the training data was formed using sampled or original data.",2010,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5670030,yes,yes,5513
Detecting Fault Modules Applying Feature Selection to Classifiers,"At present, automated data collection tools allow us to collect large amounts of information, not without associated problems. This paper, we apply feature selection to several software engineering databases selecting attributes with the final aim that project managers can have a better global vision of the data they manage. In this paper, we make use of attribute selection techniques in different datasets publicly available (PROMISE repository), and different data mining algorithms for classification to defect faulty modules. The results show that in general, smaller datasets with less attributes maintain or improve the prediction capability with less attributes than the original datasets.",2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4296696,yes,yes,5612
The top ten list: dynamic fault prediction,"To remain competitive in the fast paced world of software development, managers must optimize the usage of their limited resources to deliver quality products on time and within budget. In this paper, we present an approach (the top ten list) which highlights to managers the ten most susceptible subsystems (directories) to have a fault. Managers can focus testing resources to the subsystems suggested by the list. The list is updated dynamically as the development of the system progresses. We present heuristics to create the top ten list and develop techniques to measure the performance of these heuristics. To validate our work, we apply our presented approach to six large open source projects (three operating systems: NetBSD, FreeBSD, OpenBSD; a window manager: KDE; an office productivity suite: KOffice; and a database management system: Postgres). Furthermore, we examine the benefits of increasing the size of the top ten list and study its performance.",2005,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1510122,yes,yes,5626
A model for early prediction of faults in software systems,"Quality of a software component can be measured in terms of fault proneness of data. Quality estimations are made using fault proneness data available from previously developed similar type of projects and the training data consisting of software measurements. To predict faulty modules in software data different techniques have been proposed which includes statistical method, machine learning methods, neural network techniques and clustering techniques. Predicting faults early in the software life cycle can be used to improve software process control and achieve high software reliability. The aim of proposed approach is to investigate that whether metrics available in the early lifecycle (i.e. requirement metrics), metrics available in the late lifecycle (i.e. code metrics) and metrics available in the early lifecycle (i.e. requirement metrics) combined with metrics available in the late lifecycle (i.e. code metrics) can be used to identify fault prone modules using decision tree based Model in combination of K-means clustering as preprocessing technique. This approach has been tested with CM1 real time defect datasets of NASA software projects. The high accuracy of testing results show that the proposed Model can be used for the prediction of the fault proneness of software modules early in the software life cycle.",2010,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5451695,yes,yes,5628
"Defect Prediction using Combined Product and Project Metrics - A Case Study from the Open Source ""Apache"" MyFaces Project Family","The quality evaluation of open source software (OSS) products, e.g., defect estimation and prediction approaches of individual releases, gains importance with increasing OSS adoption in industry applications. Most empirical studies on the accuracy of defect prediction and software maintenance focus on product metrics as predictors that are available only when the product is finished. Only few prediction models consider information on the development process (project metrics) that seems relevant to quality improvement of the software product. In this paper, we investigate defect prediction with data from a family of widely used OSS projects based both on product and project metrics as well as on combinations of these metrics. Main results of data analysis are (a) a set of project metrics prior to product release that had strong correlation to potential defect growth between releases and (b) a combination of product and project metrics enables a more accurate defect prediction than the application of one single type of measurement. Thus, the combined application of project and product metrics can (a) improve the accuracy of defect prediction, (b) enable a better guidance of the release process from project management point of view, and (c) help identifying areas for product and process improvement.",2008,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4725724,yes,yes,5630
Modeling the Effect of Size on Defect Proneness for Open-Source Software,"Quality is becoming increasingly important with the continuous adoption of open-source software. Previous research has found that there is generally a positive relationship between module size and defect proneness. Therefore, in open-source software development, it is important to monitor module size and understand its impact on defect proneness. However, traditional approaches to quality modeling, which measure specific system snapshots and obtain future defect counts, are not well suited because open-source modules usually evolve and their size changes over time. In this study, we used Cox proportional hazards modeling with recurrent events to study the effect of class size on defect-proneness in the Mozilla product. We found that the effect of size was significant, and we quantified this effect on defect proneness.",2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4273266,yes,yes,5637
Project Data Incorporating Qualitative Factors for Improved Software Defect Prediction,"To make accurate predictions of attributes like defects found in complex software projects we need a rich set of process factors. We have developed a causal model that includes such process factors, both quantitative and qualitative. The factors in the model were identified as part of a major collaborative project. A challenge for such a model is getting the data needed to validate it. We present a dataset, elicited from 31 completed software projects in the consumer electronics industry, which we used for validation. The data were gathered using a questionnaire distributed to managers of recent projects. The dataset will be of interest to other researchers evaluating models with similar aims. We make both the dataset and causal model available for research use.",2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4273258,yes,yes,5641
An application of zero-inflated Poisson regression for software fault prediction,"Poisson regression model is widely used in software quality modeling. When the response variable of a data set includes a large number of zeros, Poisson regression model will underestimate the probability of zeros. A zero-inflated model changes the mean structure of the pure Poisson model. The predictive quality is therefore improved. In this paper, we examine a full-scale industrial software system and develop two models, Poisson regression and zero-inflated Poisson regression. To our knowledge, this is the first study that introduces the zero-inflated Poisson regression model in software reliability. Comparing the predictive qualities of the two competing models, we conclude that for this system, the zero-inflated Poisson regression model is more appropriate in theory and practice.",2001,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=989459,yes,yes,5649
A Density Based Clustering approach for early detection of fault prone modules,"Quality of a software component can be measured in terms of fault proneness of data. Quality estimations are made using fault proneness data available from previously developed similar type of projects and the training data consisting of software measurements. To predict fault-proneness of modules different techniques have been proposed which includes statistical methods, machine learning techniques, neural network techniques and clustering techniques. The aim of proposed approach is to investigate that whether metrics available in the early lifecycle (i.e. requirement metrics), metrics available in the late lifecycle (i.e. code metrics) and metrics available in the early lifecycle (i.e. requirement metrics) combined with metrics available in the late lifecycle (i.e. code metrics) can be used to identify fault prone modules by using Density Based Clustering technique. This approach has been tested with real time defect datasets of NASA software projects named as PC1. Predicting faults early in the software life cycle can be used to achieve high software quality. The results show that the fusion of requirement and code metric is the best prediction model for detecting the faults as compared with mostly used code based model.",2010,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5559753,yes,yes,5650
Predicting faults using the complexity of code changes,"Predicting the incidence of faults in code has been commonly associated with measuring complexity. In this paper, we propose complexity metrics that are based on the code change process instead of on the code. We conjecture that a complex code change process negatively affects its product, i.e., the software system. We validate our hypothesis empirically through a case study using data derived from the change history for six large open source projects. Our case study shows that our change complexity metrics are better predictors of fault potential in comparison to other well-known historical predictors of faults, i.e., prior modifications and prior faults.",2009,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5070510,yes,yes,5652
Assessing UML design metrics for predicting fault-prone classes in a Java system,"Identifying and fixing software problems before implementation are believed to be much cheaper than after implementation. Hence, it follows that predicting fault-proneness of software modules based on early software artifacts like software design is beneficial as it allows software engineers to perform early predictions to anticipate and avoid faults early enough. Taking this motivation into consideration, in this paper we evaluate the usefulness of UML design metrics to predict fault-proneness of Java classes. We use historical data of a significant industrial Java system to build and validate a UML-based prediction model. Based on the case study we have found that level of detail of messages and import coupling-both measured from sequence diagrams, are significant predictors of class fault-proneness. We also learn that the prediction model built exclusively using the UML design metrics demonstrates a better accuracy than the one built exclusively using code metrics.",2010,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5463285,yes,yes,5658
Early Software Fault Prediction Using Real Time Defect Data,"Quality of a software component can be measured in terms of fault proneness of data. Quality estimations are made using fault proneness data available from previously developed similar type of projects and the training data consisting of software measurements. To predict faulty modules in software data different techniques have been proposed which includes statistical method, machine learning methods, neural network techniques and clustering techniques. The aim of proposed approach is to investigate that whether metrics available in the early lifecycle (i.e. requirement metrics), metrics available in the late lifecycle (i.e. code metrics) and metrics available in the early lifecycle (i.e. requirement metrics) combined with metrics available in the late lifecycle (i.e. code metrics) can be used to identify fault prone modules by using clustering techniques. This approach has been tested with three real time defect datasets of NASA software projects, JM1, PC1 and CM1. Predicting faults early in the software life cycle can be used to improve software process control and achieve high software reliability. The results show that when all the prediction techniques are evaluated, the best prediction model is found to be the fusion of requirement and code metric model.",2009,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5381121,yes,yes,5700
Exploratory study of a UML metric for fault prediction,"This paper describes the use of a UML metric, an approximation of the CK-RFC metric, for predicting faulty classes before their implementation. We built a code-based prediction model of faulty classes using Logistic Regression. Then, we tested it in different projects, using on the one hand their UML metrics, and on the other hand their code metrics. To decrease the difference of values between UML and code measures, we normalized them using Linear Scaling to Unit Variance. Our results indicate that the proposed UML RFC metric can predict faulty code as well as its corresponding code metric does. Moreover, the normalization procedure used was of great utility, not just for enabling our UML metric to predict faulty code, using a code-based prediction model, but also for improving the prediction results across different packages and projects, using the same model.",2010,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6062214,yes,yes,5702
Fault Prediction using Early Lifecycle Data,"The prediction of fault-prone modules in a software project has been the topic of many studies. In this paper, we investigate whether metrics available early in the development lifecycle can be used to identify fault-prone software modules. More precisely, we build predictive models using the metrics that characterize textual requirements. We compare the performance of requirements-based models against the performance of code-based models and models that combine requirement and code metrics. Using a range of modeling techniques and the data from three NASA projects, our study indicates that the early lifecycle metrics can play an important role in project management, either by pointing to the need for increased quality monitoring during the development or by using the models to assign verification and validation activities.",2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4402215,yes,yes,5704
Predicting Faults in High Assurance Software,"Reducing the number of latent software defects is a development goal that is particularly applicable to high assurance software systems. For such systems, the software measurement and defect data is highly skewed toward the not-fault-prone program modules, i.e., the number of fault-prone modules is relatively very small. The skewed data problem, also known as class imbalance, poses a unique challenge when training a software quality estimation model. However, practitioners and researchers often build defect prediction models without regard to the skewed data problem. In high assurance systems, the class imbalance problem must be addressed when building defect predictors. This study investigates the roughly balanced bagging (RBBag) algorithm for building software quality models with data sets that suffer from class imbalance. The algorithm combines bagging and data sampling into one technique. A case study of 15 software measurement data sets from different real-world high assurance systems is used in our investigation of the RBBag algorithm. Two commonly used classification algorithms in the software engineering domain, Naive Bayes and C4.5 decision tree, are combined with RBBag for building the software quality models. The results demonstrate that defect prediction models based on the RBBag algorithm significantly outperform models built without any bagging or data sampling. The RBBag algorithm provides the analyst with a tool for effectively addressing class imbalance when training defect predictors during high assurance software development.",2010,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5634306,yes,yes,5706
Fault Discovery Protocol (FDP) for Passive Optical Networks (PONs),"Passive Optical Networks (PONs) are an attractive alternative to legacy copper based access lines, which still provide a number of services to customers despite their limited bandwidth and lack of future proof design. The recently growing volume of Ethernet PONs deployment [1], connected with low cost electronic and optical components used in the ONU modules, results in the situation where remote detection of faulty/active subscriber modules be-comes indispensable for proper operation of an EPON system. This paper addresses therefore the problem of the remote detection of faulty ONUs in the system, where the upstream channel is flooded with the Continuous Wave (CW) transmission from one or more damaged ONUs and standard communication is severed, providing a solution which is applicable in any type of PON networks, regardless of their operating protocol, physical structure, and data rate.",2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4381477,no,no,5445
Fault tolerant DTC for six-phase symmetrical induction machine,"In this paper, a new fault tolerant direct torque control (DTC) algorithm for six phase induction machines (6PIM) is introduced. The machine presents two sets of three phase windings spatially shifted by 60 electrical degrees. The aim of the proposed approach consists in computing an average stator voltage vector in order to control the mean values of the stator flux and the electromagnetic torque over a sampling period under open phase. The main advantages are fixed switching frequency, low torque ripples and reduced line current ripples in comparison with classical DTC. Simulation and experimental results show satisfying performances and validate the proposed method.",2009,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5415204,no,no,5447
Retrieval and small correction system for sailing directions using the Internet,"In this paper, we propose an automatic retrieval and small correction system for Japanese Sailing Directions using the Internet. There are two kinds of retrieval methods. One is the retrieval with a keyword, and the other is retrieval with ship's sailing route. The system is easily able to materialize automatic small corrections, for example revisions and additions for new navigational information. In the database of main body are divided many files. They have file names and ID. The ID is number of date and time. If there is different ID between own ship's database and the Maritime Safety Agency's one, the system execute automatically small corrections comparing with their names and ID under operation of the Internet. The programs of the system are composed Java applets, and they are easy to work in the Internet under httpd operation. These technologies are useful for LAN construction within a future ship. If the Maritime Safety Agencies in the world offer the HTML database and tables by using CD-ROM, our proposal system is made practicable as soon as possible",2001,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=953531,no,no,5448
State estimation of discrete-time Markov jump linear systems based on linear minimum mean-square error estimate,"This paper considers state estimation problem for discrete-time Markov jump linear systems. For this, two algorithm are presented. The first algorithm is an optimal algorithm of state estimation in the sense of linear minimum mean-square error estimate, which requires an ever-increasing computation and storage load with the length of the noise observation sequence. The second algorithm is a suboptimal algorithm which is proposed to reduce the computation and storage load of the optimal algorithm. A numerical example is presented to evaluate the performance of the proposed suboptimal algorithm.",2010,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5498592,no,no,5450
Hybrid Solution: A FEC Algorithm for Fault Tolerant Routing in Sensor Networks,"We study the characteristics of wireless sensor networks (WSN) and present a lightweight FEC coding algorithm combined with a smart fault tolerant routing scheme in this paper. The proposed coding-decoding algorithm is based on XOR operation and requires very little computation and storage space, which are critical for WSN. There are few existing channel coding algorithms (FEC) put forward for use in sensor networks, and they are not very suitable, due to their high computing, storage and delay cost. Further more, normal FEC coding algorithms are not flexible enough to suit the variable states in WSN. We adopt a cross-layer design wherein higher network layers use information about packet loss to adjust the coding level according to the dynamics of the network. And our routing scheme has the ability to discover and select robust paths to reliably relay data packets. Simulation result shows that our coding algorithm and self-adaptive routing scheme perform better than existing schemes.",2006,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4149829,no,no,5452
EVALUATION AND OPTIMISATION OF ERRORS IN THE REVERSE ENGINEERING PROCESS: A CASE STUDY,"Reverse engineering is used to reproduce a virtual model of any existing complex 3D shape. It is a fast evolving area which has a multitude of applications. It has also become an increasingly vital tool to reduce product development cycles. In conjunction with modern growing areas such as rapid prototyping or rapid tooling, this science is leading towards a rapidity, flexibility and agility discipline. This paper describes and analyses the successive errors embedded in the Reverse engineering process. Several simple components with specific geometric shapes are reverse engineered and remanufactured. Results show that the successive errors involved in each stage of the Reverse engineering process remain minimal (of the order of 0.5% or less) resulting in an overall maximum uncertainty of less than 1% between the original components and their remanufactured parts. Finally, two surface reconstruction procedures are described and compared with a suggested alternative method. This method enables the construction a CAD model with smooth surfaces without any oscillations and a closer fit to the scans. The final CAD model obtained can then be redesigned for an improved performance prior to a remanufacturing.",2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4286468,no,no,5453
A Radiation Hardened by Design Register File With Lightweight Error Detection and Correction,"A radiation hardened by design 32times36 b register file with error detection and correction (EDAC) capability is presented. The lightweight EDAC scheme (LEDAC) supports fine granularity (byte) writes, with low area and latency overhead, suitable for small, fast memories such as register file and first-level cache memory. The LEDAC scheme is described and its impact on memory efficiency and speed are quantified. The register file has been tested to be functional on a foundry 0.13 mum bulk CMOS process with a measured speed over 1 GHz at V<sub>DD</sub>=1.5 V. The LEDAC scheme is implemented in an external FPGA. Accelerated heavy ion testing results are also described. The experimentally measured RHBD register file SEE behavior is examined, and the proposed LEDAC scheme is shown to alleviate all soft errors in accelerated testing.",2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4291761,no,no,5455
Teaching the Art of Fault Diagnosis in Electronics by a Virtual Learning Environment,"A virtual learning environment (VLE) to improve understanding of simple faul tfinding was created from a series of Web pages, an online quiz with automated marking, and a local-area-network-based simulator. It was tested on 57 first-year students (in 2002) and 69 students in 2003, taking a module in engineering design in electrical engineering in which a battery charger was designed and constructed. The results indicate that there was better than 100% improvement in the number of working battery chargers in both tested years. In addition, the students who used the VLE produced more working chargers and were better able to identify circuit blocks than those that did not. The learning approach is described by the adaptive character of thought cited in the present paper.",2005,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1495644,no,no,5457
Study of hybrid intelligent fault diagnosis,"A hybrid intelligent fault diagnosis method is presented for the diversity, uncertainty and complexity of device faults. This method integrates respective advantages of fault tree, fuzzy theory, neural networks and genetic algorithms to form a hybrid approach and is applied to fault diagnosis of fan. Experiments show that this method is simple and effective. It can also be applied to other fault diagnosis of complex systems and has certain portability.",2010,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5456876,no,no,5458
Feature Selection with Imbalanced Data for Software Defect Prediction,"In this paper, we study the learning impact of data sampling followed by attribute selection on the classification models built with binary class imbalanced data within the scenario of software quality engineering. We use a wrapper-based attribute ranking technique to select a subset of attributes, and the random undersampling technique (RUS) on the majority class to alleviate the negative effects of imbalanced data on the prediction models. The datasets used in the empirical study were collected from numerous software projects. Five data preprocessing scenarios were explored in these experiments, including: (1) training on the original, unaltered fit dataset, (2) training on a sampled version of the fit dataset, (3) training on an unsampled version of the fit dataset using only the attributes chosen by feature selection based on the unsampled fit dataset, (4) training on an unsampled version of the fit dataset using only the attributes chosen by feature selection based on a sampled version of the fit dataset, and (5) training on a sampled version of the fit dataset using only the attributes chosen by feature selection based on the sampled version of the fit dataset. We compared the performances of the classification models constructed over these five different scenarios. The results demonstrate that the classification models constructed on the sampled fit data with or without feature selection (case 2 and case 5) significantly outperformed the classification models built with the other cases (unsampled fit data). Moreover, the two scenarios using sampled data (case 2 and case 5) showed very similar performances, but the subset of attributes (case 5) is only around 15% or 30% of the complete set of attributes (case 2).",2009,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5381844,no,no,5508
"ACE: an aggressive classifier ensemble with error detection, correction and cleansing","Learning from noisy data is a challenging and reality issue for real-world data mining applications. Common practices include data cleansing, error detection and classifier ensembling. The essential goal is to reduce noise impacts and enhance the learners built from the noise corrupted data, so as to benefit further data mining procedures. In this paper, we present a novel framework that unifies error detection, correction and data cleansing to build an aggressive classifier ensemble for effective learning from noisy data. Being aggressive, the classifier ensemble is built from the data that has been preprocessed by the data cleansing and correcting techniques. Experimental comparisons will demonstrate that such an aggressive classifier ensemble is superior to the model built from the original noisy data, and is more reliable in enhancing the learning theory extracted from noisy data sources, in comparison with simple data correction or cleansing efforts",2005,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1562954,no,no,5511
Attributes Reduction Applied to Leather Defects Classification,"This paper presents a study on attributes reduction, comparing five discriminant analysis techniques: FisherFace, CLDA, DLDA, YLDA and KLDA. Attributes reduction has been applied to the problem of leather defect classification using four different classifiers: C4.5, kNN, Naive Bayes and Support Vector Machines. The results of several experiments on the performance of discriminant analysis applied to the problem of defect detection are reported.",2010,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5720389,no,no,5515
Support Vector Machine for Mechanical Faults Diagnosis,"Aiming at the difficulty that Support Vector Machine (SVM) model selection of classification algorithm affect classification accuracy, it research relevant factors that influence the precision of fault classifiers based on the typical fault data samples obtained by experimental setup of rotor-bearing systems. The results show that different SVM classifiers, in which different kernel functions and different kernel functions parameters are adopted, will influence the precision of fault classifiers in conditions that fault data samples is small. It can be conveniently applied to choose appropriate kernel functions and kernel functions parameters in engineering application.",2010,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5459108,no,no,5516
Multistrategy ensemble learning: reducing error by combining ensemble learning techniques,"Ensemble learning strategies, especially boosting and bagging decision trees, have demonstrated impressive capacities to improve the prediction accuracy of base learning algorithms. Further gains have been demonstrated by strategies that combine simple ensemble formation approaches. We investigate the hypothesis that the improvement in accuracy of multistrategy approaches to ensemble learning is due to an increase in the diversity of ensemble members that are formed. In addition, guided by this hypothesis, we develop three new multistrategy ensemble learning techniques. Experimental results in a wide variety of natural domains suggest that these multistrategy ensemble learning techniques are, on average, more accurate than their component ensemble learning techniques.",2004,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1318582,no,no,5518
Kernel Classification via Integrated Squared Error,"Nonparametric kernel methods are widely used and proven to be successful in many statistical learning problems. Wellknown examples include the kernel density estimate (KDE) for density estimation and the support vector machine (SVM) for classification. We propose a kernel classifier that optimizes an integrated squared error (ISE) criterion based on a ""difference of densities"" formulation. Our classifier is sparse, like SVMs, and performs comparably to state-of-the-art kernel methods. Furthermore, and unlike SVMs, the ISE criterion does not require the user to set any unknown regularization parameters. As a consequence, classifier training is faster than for support vector methods.",2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4301366,no,no,5519
Defect Classification Algorithm for IC Photomask Based on PCA and SVM,"During IC photomask vision inspection, considering problem that fine image defectpsilas fineness, complex shape, extraction feature difficultly, and effect by noise easily, presented defect identification classification algorithm based on PCA (principal components analysis) and SVM (support vector machine). It resolved the problem that fine and complex defect was difficult to classify, by merits of the extracting image global feature with PCA, and high accuracy and generalization capability with SVM. Regard class distance as criterion to construct the binary tree in multi-class SVM classification algorithm. It resolved the problem that the structure of binary tree affected the accuracy of classifier, and upgraded defect classification accuracy finally. Experiments show that six defects classification accuracy by this method is up to 97.8%, higher than best accuracy 93.3% by BP network and 83.3% by method based on region. And the training and inspecting time is few. In result, itpsilas an effective method for fineness defect identification and classification.",2008,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4566204,no,no,5521
Effect of the feature vector size on the generalization error: the case of MLPNN and RBFNN classifiers,"In pattern recognition literature, it is well known that a finite number of training samples cause practical difficulties in designing a classifier. Moreover, the generalization error of the classifier tends to increase as the number of features gets large. We study the generalization error of several classifiers (MLPNN, RBFNN, K NN) in high dimensional spaces, under a practical condition: the ratio of the training sample to the dimensionality is small. Experimental results show that the generalization error of neuronal classifiers decreases as a function of dimensionality while it increases for statistical classifiers",2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=906154,no,no,5522
